PolicyID,Line,Construction,TIV_2012
526844,Commercial,Reinforced Masonry,7279557.65
623400,Residential,Wood,34160.94
826170,Residential,Wood,234280.26
185483,Residential,Wood,58447.64
920003,Residential,Masonry,1770235.43
274246,Residential,Wood,17228.6
423636,Residential,Masonry,1840643.78
970906,Commercial,Reinforced Masonry,6342697.9
227898,Residential,Wood,86628.09
525138,Residential,Wood,125938.17
923627,Residential,Wood,64169.8
619743,Residential,Wood,80898.23
910727,Residential,Wood,91244.65
363647,Residential,Wood,92333.77
512519,Residential,Wood,98181.1
904304,Residential,Wood,66272.56
835349,Residential,Wood,99945.87
891725,Residential,Wood,139415.11
923503,Residential,Wood,106664.4
292347,Residential,Wood,115117.07
363828,Residential,Wood,216561.94
110490,Residential,Wood,70364.02
480733,Residential,Masonry,345588.57
993346,Residential,Masonry,558330.42
934992,Residential,Wood,190329.82
645841,Residential,Masonry,1069841.98
747846,Residential,Wood,9957.87
482457,Residential,Wood,249984.64
574787,Residential,Wood,19024.97
831418,Residential,Wood,35207.53
968562,Residential,Wood,16859.05
576324,Residential,Wood,40749.33
290435,Residential,Wood,68008.1
526086,Residential,Wood,133425.18
119823,Residential,Wood,168246.71
497414,Residential,Wood,176279.14
340883,Residential,Wood,5265.92
892551,Residential,Wood,131774.3
670595,Residential,Wood,847.36
194101,Residential,Wood,428.69
167200,Residential,Wood,1602.72
139064,Residential,Wood,2474.16
846636,Residential,Wood,1935.04
310177,Residential,Wood,313975.87
865452,Residential,Wood,11961.62
783429,Residential,Wood,9646.79
878060,Residential,Wood,277743.75
935342,Residential,Wood,182860.76
456376,Residential,Wood,29936.79
363001,Residential,Wood,238338.59
478864,Residential,Masonry,767347.85
600402,Commercial,Reinforced Masonry,8073943.68
483983,Residential,Masonry,636264.11
991615,Residential,Wood,88679.21
644573,Residential,Masonry,841130.78
853278,Residential,Wood,412765.59
100658,Residential,Wood,464703.76
433115,Residential,Wood,9839.94
760337,Residential,Wood,73196.13
884738,Residential,Masonry,735948.78
610102,Commercial,Reinforced Masonry,10710000
830823,Residential,Masonry,977226.92
618364,Residential,Wood,115414.7
712563,Residential,Wood,72362.85
493030,Residential,Masonry,658571.77
188150,Commercial,Reinforced Masonry,2520816.55
589642,Residential,Masonry,895926.17
846109,Residential,Wood,138827.52
399079,Residential,Wood,235301.93
680135,Residential,Wood,194814.85
621379,Residential,Wood,178465.15
606710,Residential,Wood,181216.05
443319,Residential,Wood,151151.13
228591,Residential,Wood,176389.97
721610,Residential,Wood,210005.55
507395,Residential,Wood,203450.71
213399,Residential,Wood,202538.58
579400,Residential,Wood,226675.88
509951,Residential,Wood,335395.98
930798,Residential,Wood,216909.11
729247,Residential,Wood,252344.61
288344,Residential,Wood,310058.81
275351,Residential,Wood,225030.91
976690,Residential,Wood,332681.94
507111,Residential,Wood,222125
547458,Residential,Wood,277280.37
827732,Residential,Wood,303833.37
229489,Residential,Wood,282225.02
175251,Residential,Wood,178583.88
590043,Residential,Wood,241166.46
476037,Residential,Wood,306551.23
674960,Residential,Wood,338372.33
743790,Commercial,Reinforced Masonry,8757880.98
817283,Commercial,Reinforced Concrete,11790000
201980,Residential,Wood,353171.41
351505,Residential,Wood,16830
798806,Residential,Masonry,1768133.71
153643,Residential,Wood,150073.42
683653,Residential,Wood,20966.31
475264,Commercial,Reinforced Concrete,20610000
912944,Residential,Masonry,1020490.44
945134,Residential,Wood,2937.46
219959,Residential,Wood,190425.74
793504,Residential,Wood,19687.96
450423,Residential,Wood,110035.31
505178,Residential,Wood,123807.2
408688,Residential,Masonry,838972.4
477759,Residential,Wood,227585.86
882441,Residential,Wood,23505.92
727602,Residential,Wood,78862
313226,Residential,Wood,288837.12
337027,Residential,Wood,9045.12
649251,Residential,Wood,98214.9
142564,Residential,Wood,36004.04
197782,Residential,Masonry,2197471.6
709787,Residential,Wood,62305.99
655065,Residential,Wood,185883.43
176778,Commercial,Reinforced Masonry,1825782.64
559179,Residential,Masonry,1619364.87
698071,Residential,Wood,247758.41
642950,Residential,Masonry,344336.66
477240,Residential,Wood,238214.12
672348,Residential,Wood,269983.03
922844,Residential,Wood,337216.14
948580,Residential,Wood,185310.32
364552,Residential,Wood,329505.66
561601,Residential,Masonry,792672.06
584749,Residential,Wood,506745.07
601327,Residential,Wood,340143.88
302578,Residential,Wood,150719.13
756585,Residential,Wood,100714.17
627591,Residential,Wood,9566.42
663563,Residential,Masonry,1417531.31
108959,Residential,Wood,136068.22
951069,Residential,Masonry,434656.21
490641,Residential,Wood,1346.55
443968,Residential,Wood,4551.39
433688,Residential,Wood,171582.99
168578,Residential,Masonry,750524.67
294375,Residential,Wood,121368.78
902110,Residential,Wood,94517.28
279816,Residential,Masonry,640896.11
994565,Residential,Wood,14137.95
930535,Residential,Wood,25400.89
844642,Residential,Wood,47059.67
292887,Residential,Wood,28938.78
655128,Residential,Wood,10216
164038,Residential,Wood,16695.56
163057,Residential,Wood,25890.52
327730,Residential,Wood,11239.53
218187,Residential,Wood,35155
697530,Residential,Wood,16990.72
619053,Residential,Wood,23431.62
431406,Residential,Wood,7026.15
256801,Residential,Wood,22117.33
571398,Residential,Wood,250185.41
239669,Residential,Wood,13200.19
530369,Residential,Wood,36139.79
948187,Residential,Wood,13926.22
571059,Residential,Wood,14678.43
470539,Residential,Wood,85159.98
791046,Residential,Wood,99578.92
563971,Residential,Wood,30033.98
823903,Residential,Wood,22316.42
812504,Residential,Wood,10540.08
597719,Residential,Wood,94857.02
716513,Residential,Wood,18479.62
378286,Residential,Wood,16161.17
698982,Residential,Wood,12391.68
624550,Residential,Wood,13533.17
666076,Residential,Wood,11058.82
474145,Residential,Wood,6304.92
572929,Residential,Wood,18039.84
640205,Residential,Wood,8588.09
295930,Residential,Wood,5824.75
823004,Residential,Wood,9970.77
230536,Residential,Wood,10813.94
936142,Residential,Wood,321265.52
724639,Residential,Wood,86664.06
119986,Residential,Wood,15298.37
603370,Residential,Wood,4916.61
532496,Residential,Wood,4227.37
786954,Residential,Wood,7864.77
416348,Residential,Wood,27063.92
506364,Residential,Masonry,614169.6
311994,Residential,Wood,85602.93
807442,Residential,Wood,94516.04
235695,Residential,Wood,41626.05
481294,Residential,Wood,69354.23
292670,Residential,Wood,184597.7
127739,Residential,Wood,17192.67
869056,Residential,Wood,22060.5
514471,Residential,Wood,27269.28
903764,Residential,Wood,130879.31
192068,Residential,Wood,39041.19
109815,Residential,Wood,63272.13
495339,Residential,Masonry,420116.77
752123,Residential,Wood,18320.32
412775,Residential,Wood,28403.71
249958,Residential,Wood,38878
754919,Residential,Wood,24486.1
829637,Residential,Wood,127544.55
931429,Residential,Wood,97127.17
565451,Residential,Wood,31074.07
722334,Residential,Wood,36234.34
630898,Residential,Wood,114400.37
166536,Residential,Wood,184477.66
469135,Residential,Masonry,1049829.83
678786,Residential,Masonry,803088.17
284473,Residential,Masonry,1174149.07
499389,Residential,Masonry,926230.42
541241,Commercial,Reinforced Masonry,3345521.13
797586,Commercial,Reinforced Masonry,6739694.81
812823,Residential,Wood,168942.46
598244,Residential,Masonry,981993.57
788363,Residential,Wood,192335.37
737787,Residential,Wood,14335.1
445518,Residential,Wood,24001.58
758347,Residential,Masonry,622958.63
195133,Residential,Wood,160656.16
991548,Residential,Masonry,885491.72
696936,Residential,Wood,124562.37
393176,Residential,Wood,34616.01
626647,Residential,Wood,266906.9
915781,Residential,Masonry,472322.4
827852,Residential,Wood,19860.19
800420,Residential,Wood,71551.34
728346,Commercial,Reinforced Masonry,3496699.52
928642,Residential,Wood,69182.52
442061,Residential,Wood,24191.61
810826,Residential,Wood,52870.8
336798,Residential,Wood,60419.64
830917,Residential,Wood,20025.98
984232,Residential,Masonry,2274163.21
203667,Residential,Wood,205713.96
395084,Residential,Wood,347967.51
869242,Residential,Wood,187374.87
704537,Residential,Wood,39703.53
692691,Residential,Wood,54682.3
580758,Residential,Wood,47324.63
515486,Residential,Wood,21284.3
884079,Residential,Wood,67485.56
491095,Residential,Masonry,788694.76
579764,Residential,Wood,110143.27
263177,Residential,Wood,50970.62
710739,Residential,Wood,45290.08
156129,Residential,Wood,80342.73
178800,Residential,Wood,347251.89
406073,Residential,Wood,105384.87
450089,Residential,Wood,148194.97
894206,Residential,Wood,291171.43
472007,Residential,Masonry,1010881.77
500287,Residential,Masonry,2062651.31
365732,Residential,Wood,114569.52
365145,Residential,Wood,142594.69
237841,Residential,Wood,22931.74
497561,Residential,Wood,30813.03
245837,Residential,Masonry,590955.85
732075,Residential,Wood,44390.39
657625,Commercial,Reinforced Masonry,5610030.32
790556,Residential,Wood,195355.54
207626,Residential,Wood,73202.3
902008,Residential,Masonry,1124171.17
135936,Residential,Wood,7055.16
997759,Residential,Wood,42302.97
470224,Residential,Wood,10246.42
367761,Residential,Wood,35000.32
285586,Residential,Wood,18829.64
122164,Residential,Wood,3579.34
152913,Residential,Wood,28007.93
655156,Residential,Wood,70626.63
989201,Residential,Wood,63476.71
207985,Residential,Wood,368477.97
732449,Residential,Wood,12857.71
665653,Residential,Wood,419574.22
939634,Residential,Masonry,1133298.89
981796,Residential,Wood,17111.87
269573,Residential,Wood,66233.75
602123,Residential,Wood,4613.35
336717,Residential,Wood,116617.63
238449,Residential,Wood,26153.37
530357,Residential,Wood,38632.56
896911,Residential,Wood,252790.47
391646,Residential,Wood,54449.07
710345,Residential,Wood,53139.05
944525,Residential,Wood,156395.86
800878,Residential,Wood,32189.87
866106,Residential,Wood,158091.16
204794,Residential,Wood,147384.67
849458,Residential,Wood,19110.92
806471,Residential,Wood,33937.58
464589,Residential,Wood,242525.33
591943,Residential,Masonry,652935.06
973133,Residential,Wood,235651.85
743965,Residential,Wood,117740.65
528185,Residential,Wood,66198.38
219113,Residential,Wood,272492.62
376803,Residential,Masonry,1344182.96
233559,Residential,Masonry,516026.16
579117,Residential,Wood,67513.1
517674,Residential,Wood,66963.34
980808,Residential,Wood,15583.05
143584,Residential,Masonry,1488037.86
489643,Residential,Masonry,381198.18
986109,Residential,Wood,107281.96
654640,Residential,Wood,123495.13
700895,Residential,Masonry,800541
407962,Commercial,Steel Frame,120600000
494610,Residential,Wood,51746.63
744305,Residential,Wood,95471.01
512991,Residential,Wood,123969.01
507789,Residential,Wood,149616.24
186262,Commercial,Reinforced Masonry,4765537.43
978388,Residential,Wood,275087.39
784347,Residential,Masonry,1031325.54
679408,Residential,Wood,51938.8
306619,Residential,Wood,128945.84
457004,Residential,Wood,31749.41
329255,Residential,Wood,159306.22
900892,Residential,Wood,12760.09
633241,Residential,Wood,31753.49
502372,Residential,Wood,87129.43
719075,Residential,Wood,370039.71
920786,Residential,Wood,131220.21
232605,Residential,Wood,222258.75
601984,Residential,Wood,178903.34
459878,Residential,Wood,189045.7
565530,Residential,Masonry,489018.88
202651,Commercial,Reinforced Masonry,2670204.04
909104,Residential,Wood,123617.33
872719,Residential,Wood,22455.91
997611,Residential,Wood,21121.61
519606,Residential,Wood,26327.41
624248,Residential,Masonry,433692.83
783767,Residential,Wood,255938.56
285479,Residential,Wood,12877.19
424793,Residential,Wood,20170.81
256213,Residential,Wood,24969.08
155199,Residential,Wood,27389.44
830871,Residential,Wood,23608.18
757768,Residential,Wood,14548.41
176583,Residential,Wood,433818.5
678864,Residential,Wood,96002.7
854000,Residential,Wood,80292.62
631978,Residential,Wood,36460.53
967058,Residential,Wood,30475.72
878374,Residential,Wood,60957.06
113053,Residential,Wood,7797.29
288738,Residential,Wood,12297.35
594369,Residential,Wood,42941.54
706890,Residential,Wood,63408.66
536032,Residential,Wood,213321.55
747825,Residential,Wood,47665.19
608124,Residential,Wood,37227.66
934739,Residential,Wood,126691.92
757078,Residential,Wood,16711.17
956518,Residential,Wood,17567.13
548584,Residential,Wood,40211.36
132904,Residential,Wood,50210.47
111857,Residential,Wood,38484.4
388383,Residential,Wood,16277.72
276410,Residential,Wood,1875.38
546756,Residential,Wood,44399.5
669229,Residential,Wood,518064.61
766573,Residential,Wood,220996.57
765578,Residential,Wood,18558.54
166613,Commercial,Reinforced Masonry,9630000
883261,Residential,Masonry,790445.52
842655,Residential,Masonry,1186037.01
248167,Residential,Masonry,694889.06
976562,Residential,Wood,269112.26
620457,Residential,Wood,264045.11
336697,Residential,Masonry,847083.59
648295,Residential,Wood,14922.01
858080,Residential,Wood,6481.05
579910,Residential,Masonry,644961.83
735184,Residential,Wood,153444.94
420445,Residential,Wood,18409.67
373504,Residential,Wood,141507.02
266080,Residential,Wood,205071.55
178535,Residential,Masonry,951909.86
574531,Residential,Wood,57465.83
606491,Residential,Wood,15491.3
885991,Residential,Masonry,1338076.34
908170,Residential,Wood,1987.47
487022,Residential,Masonry,295022.71
723719,Residential,Wood,369024.45
628922,Residential,Wood,4657.86
232316,Commercial,Reinforced Masonry,2011109.14
151933,Residential,Wood,44497.57
225577,Residential,Wood,19900.03
443296,Residential,Wood,25187.77
747464,Residential,Masonry,1238331.86
548566,Residential,Wood,1040.28
510281,Residential,Wood,72289.55
481334,Residential,Wood,78757.48
621142,Residential,Wood,3172.8
907206,Residential,Wood,12932.89
963412,Residential,Wood,3869.4
561805,Residential,Wood,3091.08
177053,Residential,Wood,118661.22
888564,Residential,Wood,263.6
399592,Residential,Wood,2770.49
616030,Residential,Wood,9177.71
671336,Residential,Wood,1329.26
914194,Residential,Wood,1033.53
632104,Residential,Wood,9621.62
895447,Residential,Wood,1968.83
969519,Residential,Wood,13693.44
149119,Residential,Wood,6178.61
804466,Residential,Wood,65695.04
688199,Residential,Wood,2759.65
977912,Residential,Wood,5262.65
312530,Residential,Wood,116057.51
154572,Residential,Wood,33549.65
299157,Residential,Wood,15369.13
358433,Residential,Wood,659.24
131991,Residential,Masonry,1100339.77
844614,Residential,Wood,151485.4
735501,Residential,Wood,111810.33
703956,Residential,Masonry,449453.6
547680,Residential,Wood,345.57
562722,Residential,Wood,37800.06
820860,Residential,Wood,63980.76
894562,Residential,Wood,74512.99
577091,Residential,Wood,72779.5
755818,Residential,Wood,45436.16
839723,Residential,Wood,68771.25
118899,Residential,Wood,63744.12
612231,Residential,Wood,51958.85
163526,Residential,Wood,73699.25
278995,Residential,Wood,31070.91
875706,Residential,Wood,170615.37
712263,Residential,Wood,99204.96
241888,Residential,Wood,367252.14
115934,Residential,Masonry,1442513.96
214979,Residential,Wood,237377.74
601369,Residential,Masonry,633532.33
859735,Residential,Wood,34173.78
868972,Residential,Wood,41003.54
369631,Residential,Wood,16937.5
130797,Commercial,Reinforced Masonry,3324307.1
770857,Residential,Wood,61746.58
834275,Residential,Wood,16629.19
102432,Residential,Wood,94316.64
776440,Residential,Wood,85471.3
945568,Residential,Wood,196108.28
132404,Residential,Wood,28390.67
395018,Residential,Masonry,807315.51
248575,Residential,Masonry,1754044.69
812631,Residential,Wood,2689.15
220621,Residential,Wood,6245.57
139061,Residential,Wood,24338.2
419108,Residential,Wood,83927.61
391574,Residential,Wood,4357.44
449147,Residential,Wood,7703.87
998635,Commercial,Reinforced Concrete,21420000
437290,Commercial,Reinforced Masonry,3013535.96
395835,Commercial,Reinforced Masonry,8312037.91
613321,Residential,Wood,103997.76
865150,Residential,Wood,3497.7
635664,Residential,Wood,8149.76
529300,Residential,Wood,237294.82
430318,Residential,Wood,383294.11
441395,Residential,Wood,10477.95
294015,Residential,Wood,31001.11
950097,Commercial,Reinforced Masonry,3010396.29
110324,Residential,Masonry,525967.54
416938,Residential,Masonry,1712133.28
586755,Commercial,Reinforced Masonry,4538280.78
863494,Commercial,Reinforced Masonry,2179396.57
574538,Commercial,Reinforced Masonry,1360956.02
514370,Residential,Masonry,675946.51
373414,Residential,Wood,64090.31
997019,Residential,Wood,67076.89
910144,Residential,Wood,83169.59
552357,Residential,Wood,2354.26
655342,Residential,Wood,22753.11
897773,Residential,Wood,185671.03
926390,Residential,Wood,470123.23
216408,Residential,Masonry,1429079.44
548404,Residential,Wood,70357.06
206428,Residential,Wood,122481.66
292458,Residential,Wood,34787.61
919465,Residential,Wood,25858.92
630483,Residential,Wood,4986.09
825224,Residential,Masonry,942036.82
404295,Residential,Wood,34832.25
150387,Residential,Wood,5514.88
946844,Residential,Wood,67354.16
751897,Commercial,Reinforced Masonry,3313764.14
910845,Residential,Wood,7389.35
763316,Residential,Wood,54449.27
727002,Residential,Wood,11891.17
559336,Residential,Wood,128904.59
236251,Residential,Wood,135498.67
529747,Residential,Wood,130964.13
858323,Residential,Masonry,533249.87
158617,Residential,Wood,285281.68
334713,Residential,Wood,33176.15
318842,Residential,Wood,31693.82
649501,Residential,Wood,35484.95
445540,Residential,Wood,66807.9
371999,Residential,Wood,36578.14
218472,Residential,Wood,1441.54
580250,Residential,Masonry,1192456.06
907556,Residential,Masonry,1148774.22
327269,Residential,Wood,69684.63
892361,Residential,Masonry,1122402.35
398442,Residential,Wood,197085.49
423598,Residential,Wood,321708.72
327184,Residential,Wood,18783.7
314582,Commercial,Reinforced Masonry,3835344
975779,Residential,Wood,287890.42
337568,Commercial,Reinforced Masonry,1483030.33
459597,Residential,Wood,241042.54
511988,Residential,Wood,354171.3
455917,Residential,Masonry,795934.93
304879,Residential,Wood,269009.57
881425,Residential,Wood,17906.42
208817,Residential,Wood,10934.03
918862,Residential,Wood,20624.56
523984,Residential,Wood,12413.21
226520,Residential,Wood,45866.06
413066,Residential,Masonry,2371758.21
177491,Residential,Wood,66677.07
906786,Residential,Wood,8806.41
252960,Commercial,Reinforced Masonry,2139219.88
753041,Residential,Wood,104037.54
275656,Commercial,Reinforced Concrete,12780000
366151,Residential,Masonry,2377630.35
143520,Residential,Masonry,406856.58
578715,Residential,Wood,77444.45
728171,Residential,Wood,413362.66
147189,Residential,Masonry,581398.49
626834,Residential,Wood,43275.19
840720,Residential,Wood,205674.83
911131,Residential,Wood,63972.93
814705,Residential,Wood,110866.44
896748,Residential,Wood,72512.61
640263,Residential,Wood,179457.22
756661,Residential,Wood,159660.78
267816,Residential,Wood,123152.73
876992,Residential,Wood,112724.12
866801,Residential,Wood,137794.37
135106,Residential,Wood,164294.23
995558,Residential,Wood,199346.49
577604,Residential,Wood,321763.63
334208,Residential,Wood,171988.99
601206,Residential,Wood,196166.83
335613,Residential,Wood,112373.28
586214,Residential,Wood,97843.85
645424,Residential,Wood,315327.09
584595,Residential,Wood,171439.72
924430,Residential,Wood,172195.4
842675,Residential,Wood,6383.79
379599,Commercial,Reinforced Masonry,2915525.5
280286,Commercial,Reinforced Masonry,2053976.41
147622,Commercial,Reinforced Concrete,12600000
592104,Residential,Wood,338392.3
936914,Residential,Wood,93768.19
689421,Residential,Wood,262226.16
162509,Residential,Wood,89661.45
205789,Residential,Wood,14018.96
559033,Residential,Wood,11037.3
411708,Residential,Wood,155905.78
945341,Residential,Masonry,1515616.08
985128,Residential,Wood,135476.81
859902,Residential,Masonry,621929.81
767859,Residential,Wood,64506.59
235747,Residential,Wood,28540.7
644183,Residential,Wood,34013.3
956443,Residential,Wood,67511.87
278796,Residential,Wood,46311.06
608556,Residential,Wood,64188.3
454763,Residential,Wood,73321.23
908461,Residential,Wood,50043.8
333252,Residential,Wood,68689.36
332105,Residential,Wood,82998
874411,Residential,Wood,72366.67
700665,Residential,Wood,115903.01
582288,Residential,Wood,206159.65
903047,Residential,Wood,22554.49
446936,Residential,Wood,48470.26
758257,Residential,Wood,71824.88
205579,Residential,Wood,221020.03
542261,Residential,Wood,55496.25
467776,Residential,Wood,59463.81
547808,Residential,Wood,32434.96
148603,Residential,Wood,24459.84
620151,Residential,Wood,21565.57
423148,Residential,Wood,46045.51
285805,Residential,Wood,90722.65
666963,Residential,Wood,87358.49
218058,Commercial,Reinforced Concrete,22950000
824968,Residential,Masonry,800770.85
583791,Residential,Wood,240863.15
288895,Residential,Wood,171816.42
622218,Commercial,Reinforced Masonry,2693973.61
471679,Residential,Masonry,524114.84
330603,Residential,Wood,10937.7
340377,Residential,Wood,326897.52
325580,Residential,Wood,346779.55
355939,Residential,Wood,298522.2
537551,Residential,Wood,200837.38
817217,Residential,Wood,179609.44
307610,Residential,Wood,203435.9
934843,Residential,Wood,118427.03
479633,Residential,Wood,93174.75
261810,Residential,Wood,46949.01
251498,Residential,Wood,43353.72
652676,Residential,Wood,160241.33
430162,Residential,Wood,28632.04
107565,Residential,Wood,46250.83
137773,Residential,Wood,41164.08
150881,Commercial,Reinforced Masonry,4519811.85
818305,Residential,Masonry,404205.53
772993,Residential,Wood,36657.57
335686,Residential,Wood,81556.52
354163,Residential,Wood,38665.08
131859,Residential,Masonry,1049473.44
102237,Residential,Wood,92277.53
496689,Residential,Wood,31354.96
386266,Residential,Wood,16870.05
189496,Residential,Masonry,624602.68
448454,Residential,Wood,89318.13
152055,Residential,Wood,33506.98
516954,Residential,Masonry,1180717.76
346222,Residential,Wood,198268.31
827364,Residential,Masonry,1236504.47
865575,Residential,Wood,4121.29
666784,Residential,Masonry,724120.49
908304,Residential,Wood,5921.72
724035,Residential,Wood,5172.93
616507,Residential,Wood,1703.46
743467,Residential,Wood,702.76
542565,Residential,Wood,626.15
666420,Residential,Wood,306.35
716343,Residential,Wood,396.9
166243,Residential,Wood,344.6
869527,Residential,Wood,409.46
793316,Residential,Wood,399.23
525660,Residential,Wood,528.66
228542,Residential,Wood,932.19
345892,Residential,Wood,633.05
235832,Residential,Wood,421.66
710139,Residential,Wood,183753.98
352426,Residential,Wood,7000.23
384442,Residential,Masonry,596751.99
286876,Residential,Masonry,795315.5
300150,Residential,Masonry,448815.8
604759,Residential,Masonry,843487.28
374411,Residential,Wood,202077.78
447691,Residential,Wood,77525.91
735405,Residential,Wood,1778.11
476328,Residential,Wood,1075.53
188892,Residential,Wood,1722.78
738918,Residential,Wood,70944.34
320338,Residential,Wood,8916.45
443947,Residential,Wood,4816.97
167317,Residential,Wood,6629.92
430437,Residential,Wood,6005.72
873593,Residential,Wood,6181.05
653808,Residential,Wood,5894.44
122734,Residential,Wood,10024.56
603486,Residential,Wood,6570.25
855783,Residential,Wood,12734.15
379870,Residential,Wood,9794.3
536577,Residential,Wood,5723.13
178873,Residential,Wood,38033.51
300562,Residential,Masonry,865937.75
555619,Residential,Masonry,1804462.75
758060,Residential,Masonry,601365.78
489526,Residential,Masonry,429078.89
861565,Residential,Masonry,999074.72
692765,Residential,Masonry,617189.91
428588,Residential,Wood,9312.29
116583,Residential,Wood,31672.04
779587,Residential,Wood,11265.14
827888,Residential,Wood,17218.66
983194,Residential,Wood,13406.92
549068,Residential,Wood,9788.64
116416,Residential,Wood,23178.2
787983,Residential,Wood,157491.85
473317,Residential,Masonry,539836.94
139920,Residential,Wood,86556.41
464379,Residential,Wood,225245.61
110577,Residential,Wood,58759.94
964532,Residential,Wood,4492.52
783365,Residential,Wood,22502.42
243580,Residential,Wood,32148.56
936931,Residential,Wood,93015.29
464273,Residential,Wood,28708.21
142893,Residential,Wood,77736.97
583948,Residential,Masonry,535138.35
466262,Residential,Masonry,1145968.05
868179,Residential,Wood,441715.69
368509,Residential,Wood,182508.91
825334,Residential,Wood,75344.45
584286,Residential,Wood,12628.82
426369,Residential,Wood,248614.44
621175,Residential,Wood,576162.72
740683,Residential,Masonry,585121.92
974438,Residential,Wood,528647.55
443137,Residential,Masonry,858852.57
174313,Residential,Wood,380753.05
515429,Residential,Masonry,1091029.43
168714,Residential,Masonry,1127058.45
967565,Residential,Masonry,780380.92
216270,Residential,Masonry,1300086.36
650875,Commercial,Reinforced Masonry,3865825.55
971511,Residential,Wood,57581.86
413953,Residential,Wood,37841
450658,Residential,Wood,32595.54
228299,Residential,Wood,89079.82
717202,Residential,Wood,65537.24
772804,Commercial,Reinforced Masonry,2724693.72
932466,Commercial,Reinforced Masonry,3364247.11
533299,Residential,Wood,221584.15
284003,Residential,Wood,66760.13
205704,Residential,Wood,58258.49
346837,Residential,Wood,47281.88
371665,Residential,Wood,9940.79
574882,Residential,Masonry,1695575.76
110888,Residential,Masonry,354257.79
375055,Residential,Masonry,1102932.56
482716,Residential,Wood,296798.29
603519,Residential,Wood,2968.09
268570,Residential,Wood,101150.37
820558,Commercial,Reinforced Masonry,2928377.72
498729,Residential,Wood,12533.51
950716,Commercial,Reinforced Masonry,2745019.36
128894,Residential,Masonry,907861.19
881492,Residential,Masonry,755109.63
