Balaji Warehousing Co Pvt Ltd,,,,,,,,
"Venkus Sadan ,No.610,  2nd Cross,",,,,,,,,
22-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,10291,,4560.00
,,Being the amount paid towards FACT stock loading charges 152.000 mts @ 30/-,,,,,,
22-05-2020,Dr,BGM FCI GH Expense,,,Payment,10292,,2240.00
,,Being the amount paid towards fci loading charges  for the month of april-2020 1400 bags @ Rs.1.60/-,,,,,,
22-05-2020,Dr,Bgm Pooja Expenses,,,Payment,10293,,210.00
,,Being the amount paid towards Pooja expense,,,,,,
22-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,10294,,7000.00
,,Being the amount paid towards fci godown cl salary   for the month of april-2020,,,,,,
22-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,10295,,7000.00
,,Being the amount paid towards fci godown cl salary   for the month of april-2020,,,,,,
22-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,10296,,3000.00
,,Being the amount paid towards fci godown cl salary   for the month of april-2020,,,,,,
22-05-2020,Cr,Bgm Misc.Income,,,Receipt,1208,54040.00,
,,Being amount Recvd from sweeping bags sold amt (56500-2460=54040),,,,,,
23-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,10475,,150.00
,,Being the amount paid towards FACT stock loading charges 05.000 mts @ 30/-,,,,,,
23-05-2020,Dr,BGM FCI GH Expense,,,Payment,10476,,2904.00
,,Being the amount paid towards fci loading charges  for the month of april-2020 1815 bags @ Rs.1.60/-,,,,,,
23-05-2020,Dr,Bgm Fact Stand Expense,,,Payment,10477,,800.00
,,Being the amount paid towards Fact stock rebagging charges 80 bags @ 10/-,,,,,,
23-05-2020,Dr,Bgm Godown Maintenence,,,Payment,10478,,9500.00
,,Being the amount paid t/w fci gdn kc operation for rice (COVERS 19* 500),,,,,,
23-05-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,10479,,250.00
,,Being amount paid t/w  fci labours welafair charges,,,,,,
25-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,10611,,750.00
,,Being the amount paid towards FACT stock loading charges 25.000 mts @ 30/-,,,,,,
26-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,10765,,1050.00
,,Being the amount paid towards FACT stock loading charges 35.000 mts @ 30/-,,,,,,
26-05-2020,Dr,BGM FCI GH Expense,,,Payment,10766,,1408.00
,,Being the amount paid towards fci loading charges  for the month of april-2020 880 bags @ Rs.1.60/-,,,,,,
26-05-2020,Dr,Bgm Conveyence Expenses,,,Payment,10767,,1650.00
,,Being the amount paid towards FCI Labour vehicle charges,,,,,,
27-05-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1312,50000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
27-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,10958,,540.00
,,Being the amount paid towards FACT stock loading charges 18.000 mts @ 30/-,,,,,,
27-05-2020,Dr,BGM FCI GH Expense,,,Payment,10959,,1098.00
,,Being the amount paid towards fci loading charges  for the month of april-2020 686 bags @ Rs.1.60/-,,,,,,
28-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,11140,,1980.00
,,Being the amount paid towards FACT stock loading charges 66.000 mts @ 30/-,,,,,,
28-05-2020,Dr,BGM FCI GH Expense,,,Payment,11141,,934.00
,,Being the amount paid towards fci loading charges  for the month of april-2020 5846 bags @ Rs.1.60/-,,,,,,
29-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,11293,,270.00
,,Being the amount paid towards FACT stock loading charges 09.000 mts @ 30/-,,,,,,
29-05-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,11294,,150.00
,,Being amount paid t/w  fci labours welafair charges,,,,,,
29-05-2020,Dr,Bgm Office Maintenence Expenes,,,Payment,11295,,800.00
,,Being the amount paid towards - inventor battery servicing charges,,,,,,
29-05-2020,Dr,Bgm Conveyence Expenses,,,Payment,11296,,100.00
,,Being the amount paid towards FCI Labour vehicle charges,,,,,,
29-05-2020,Dr,Bgm Vehicle Maintenence,,,Payment,11297,,370.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
29-05-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,11298,,30.00
,,Being amount paid t/w courier charges bill enclosed,,,,,,
30-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,11543,,1275.00
,,Being the amount paid towards FACT stock loading charges 42.500 mts @ 30/-,,,,,,
30-05-2020,Dr,BGM FCI GH Expense,,,Payment,11544,,5550.00
,,Being the amount paid towards fci loading charges  for the month of april-2020 3469 bags @ Rs.1.60/-,,,,,,
30-05-2020,Dr,Bgm Pooja Expenses,,,Payment,11545,,100.00
,,Being the amount paid towards Pooja expense,,,,,,
01-06-2020,Cr,Bgm Misc.Income,,,Receipt,1457,1950.00,
,,Being amount Recvd from FACT storage charges from Agriculture development BGM Inv date: 28.02.2020 dispatch date: 30.05.20quqntity 62days @ Rs.25/-,,,,,,
01-06-2020,Cr,Bgm Misc.Income,,,Receipt,1458,825.00,
,,Being amount Recvd from FACT storage charges from Mahaveer traders Inv date: 28.02.2020 dispatch date: 13.05.20 Qty 73days @ 5m.,,,,,,
01-06-2020,Cr,Bgm Misc.Income,,,Receipt,1459,15000.00,
,,"Being amount Recvd from FACT storage charges from V M Melvanki Narsapur Inv date: FEB and March 2020 dispatch date: Apr, May & June 2020 Qty 92Mts.",,,,,,
01-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,11949,,1470.00
,,Being the amount paid towards FACT stock loading charges 49 mts @ Rs.30/-. as per details enclosed.,,,,,,
02-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,12143,,3300.00
,,Being the amount paid towards FACT stock loading charges 110 mts @ Rs.30/-. as per details enclosed.,,,,,,
03-06-2020,Cr,Bgm Misc.Income,,,Receipt,1504,5000.00,
,,"Being amount Recvd from sweeping bags sold amount , 10bags@ Rs.500/-",,,,,,
03-06-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,12461,,100.00
,,Being amount paid t/w courier charges bill enclosed,,,,,,
03-06-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,12462,,160.00
,,Being amount paid t/w labours welafare charges,,,,,,
03-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,12463,,1140.00
,,Being the amount paid towards FACT stock loading charges 38 mts @ Rs.30/-. as per details enclosed.,,,,,,
04-06-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,12640,,600.00
,,Being the Advance freight amount payable towards FL No:40329.,,,,,,
04-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,12641,,150.00
,,Being the amount paid towards GSFL stock  loading charges - 5 mts @ Rs.30/-,,,,,,
04-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,12642,,150.00
,,Being the amount paid towards FACT stock loading charges 5 mts @ Rs.30/-. as per details enclosed.,,,,,,
05-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,1547,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
05-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1548,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
05-06-2020,Cr,Bgm Misc.Income,,,Receipt,1569,2475.00,
,,Being amount Recvd from fact storage bill from Ramalingeshwaram doddi INV date 28.02.2020  Dispatch dt.05.06.2020. quantity 15Mts.,,,,,,
05-06-2020,Cr,Bgm Misc.Income,,,Receipt,1570,5500.00,
,,Being amount Recvd from fact storage bill from fertilizer INV date 28.02.2020  Dispatch dt.02.06.2020. quantity 25Mts.,,,,,,
05-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,13181,,2310.00
,,Being the amount paid towards FACT stock loading charges 77 mts @ Rs.30/-. as per details enclosed.,,,,,,
06-06-2020,Dr,Bgm Godown Maintenence,,,Payment,13374,,2000.00
,,Being the amount paid towards cleaning charges for godown purpose for the month of May 2020.,,,,,,
06-06-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,13385,,150.00
,,Being amount paid t/w labours welafare charges,,,,,,
06-06-2020,Dr,Bgm Office Maintenence Expenes,,,Payment,13386,,400.00
